Distance_m,Current_Mag,Current_Phase_deg,Field_Mag,Field_dB
34.538312,1.853891e-01,33.067,5.829277e+01,17.422
34.615579,1.852046e-01,-18.261,5.990933e+01,17.656
34.692846,1.850204e-01,-69.665,6.151239e+01,17.882
34.770113,1.848343e-01,-121.144,6.312364e+01,18.104
34.847380,1.846412e-01,-172.697,6.468867e+01,18.313
34.924646,1.844441e-01,135.676,6.624463e+01,18.516
35.001913,1.842441e-01,83.979,6.775832e+01,18.710
35.079180,1.840440e-01,32.209,6.918333e+01,18.887
35.156447,1.838495e-01,-19.632,7.055775e+01,19.055
35.233714,1.836585e-01,-71.545,7.181570e+01,19.205
35.310981,1.834730e-01,-123.533,7.296903e+01,19.340
35.388248,1.832891e-01,-175.594,7.406009e+01,19.466
35.465515,1.831024e-01,132.271,7.504403e+01,19.577
35.542782,1.829136e-01,80.063,7.600003e+01,19.684
35.620049,1.827182e-01,27.783,7.694091e+01,19.788
35.697316,1.825205e-01,-24.568,7.783710e+01,19.885
35.774583,1.823225e-01,-76.989,7.875654e+01,19.984
35.851849,1.821253e-01,-129.481,7.963241e+01,20.077
35.929116,1.819346e-01,177.957,8.043608e+01,20.161
36.006383,1.817463e-01,125.323,8.119304e+01,20.239
36.083650,1.815615e-01,72.617,8.181123e+01,20.301
